,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
84,perl,58939,Stack Overflow,3.2231257,7.6783576,Computer Science,blue,71,1.0101604278074867,0.8481283422459893
86,web-services,57875,Stack Overflow,6.217811599999999,6.722733,Computer Science,blue,72,1.0074866310160429,0.8459893048128342
87,file,57654,Stack Overflow,1.984584,11.100717,Computer Science,blue,73,1.004812834224599,0.8438502673796793
88,google-maps,56228,Stack Overflow,-1.0149597,-6.106968,Computer Science,blue,74,1.0021390374331551,0.8417112299465241
91,cordova,55829,Stack Overflow,-4.2621427,-6.5109463,Computer Science,blue,75,0.9994652406417113,0.839572192513369
92,symfony,55777,Stack Overflow,0.13043915,-2.642975,Computer Science,blue,76,0.9967914438502674,0.8374331550802139
96,loops,53424,Stack Overflow,3.235611,0.6501969,Computer Science,blue,77,0.9941176470588236,0.835294117647059
97,azure,53378,Stack Overflow,-4.2667046,-2.939102,Computer Science,blue,78,0.9914438502673797,0.8331550802139038
98,class,53131,Stack Overflow,-8.227652,-7.372234,Computer Science,blue,79,0.9887700534759358,0.8310160427807487
99,csv,53062,Stack Overflow,4.063377399999999,-0.46578100000000006,Computer Science,blue,80,0.986096256684492,0.8288770053475936
100,validation,52353,Stack Overflow,10.526643,-6.181563400000001,Computer Science,blue,81,0.9834224598930481,0.8267379679144384
102,sockets,51618,Stack Overflow,2.5824373,1.5893201000000001,Computer Science,blue,82,0.9807486631016042,0.8245989304812835
104,sorting,50425,Stack Overflow,3.5836434,-9.184842999999999,Computer Science,blue,83,0.9780748663101604,0.8224598930481284
107,selenium,49427,Stack Overflow,-4.626261,-7.971669,Computer Science,blue,84,0.9754010695187165,0.8203208556149733
109,typescript,48869,Stack Overflow,-4.894541,-7.163736,Computer Science,blue,85,0.9727272727272727,0.8181818181818183
110,wcf,48317,Stack Overflow,1.9658301,-3.3892565,Computer Science,blue,86,0.9700534759358288,0.8160427807486632
112,email,47305,Stack Overflow,-2.1072330000000004,12.184088000000001,Computer Science,blue,87,0.9673796791443849,0.8139037433155081
113,jsp,47267,Stack Overflow,5.99403,8.158698,Computer Science,blue,88,0.9647058823529411,0.8117647058823529
114,http,46851,Stack Overflow,-3.2011700000000003,3.0792102999999997,Computer Science,blue,89,0.9620320855614974,0.8096256684491978
121,security,44117,Stack Overflow,4.3847966,-3.3684962,Computer Science,blue,90,0.9593582887700536,0.8074866310160429
122,oop,43958,Stack Overflow,2.9440237999999996,3.0622783,Computer Science,blue,91,0.9566844919786097,0.8053475935828878
123,opencv,43184,Stack Overflow,2.068905,4.1575265,Computer Science,blue,92,0.9540106951871659,0.8032085561497326
124,parsing,42705,Stack Overflow,-0.8693365,7.0809690000000005,Computer Science,blue,93,0.951336898395722,0.8010695187165775
125,c++11,42413,Stack Overflow,-0.8892344000000001,-5.5431633,Computer Science,blue,94,0.9486631016042781,0.7989304812834224
126,user-interface,42331,Stack Overflow,6.2803698,5.84963,Computer Science,blue,95,0.9459893048128343,0.7967914438502675
127,datetime,42330,Stack Overflow,-1.5747645000000001,-6.5562925000000005,Computer Science,blue,96,0.9433155080213904,0.7946524064171123
129,delphi,41117,Stack Overflow,7.4875746,1.6649956000000001,Computer Science,blue,97,0.9406417112299466,0.7925133689839572
133,express,40309,Stack Overflow,3.743899,-13.022935,Computer Science,blue,98,0.9379679144385027,0.7903743315508023
134,ubuntu,39972,Stack Overflow,-5.9446983,-3.5763469,Computer Science,blue,99,0.9352941176470588,0.7882352941176471
135,templates,39165,Stack Overflow,-0.97443426,9.384242,Computer Science,blue,100,0.932620320855615,0.786096256684492
136,pointers,39104,Stack Overflow,-1.6566768,1.1458149,Computer Science,blue,101,0.9299465240641711,0.7839572192513369
138,object,38565,Stack Overflow,4.2196484000000005,4.1661186,Computer Science,blue,102,0.9272727272727272,0.781818181818182
139,debugging,38511,Stack Overflow,7.4192990000000005,4.458245,Computer Science,blue,103,0.9245989304812834,0.7796791443850268
140,dictionary,38346,Stack Overflow,1.1046118,11.868238999999999,Computer Science,blue,104,0.9219251336898395,0.7775401069518717
141,variables,38244,Stack Overflow,-6.3884172,-14.387951000000001,Computer Science,blue,105,0.9192513368983957,0.7754010695187166
142,session,38120,Stack Overflow,-12.979828999999999,0.5647532,Computer Science,blue,106,0.9165775401069518,0.7732620320855614
144,unix,37845,Stack Overflow,5.059655,6.2181196,Computer Science,blue,107,0.9139037433155079,0.7711229946524065
145,ms-access,37577,Stack Overflow,0.23679012,-7.107852,Computer Science,blue,108,0.9112299465240641,0.7689839572192514
146,cocoa,37349,Stack Overflow,-7.3219533,-8.895467,Computer Science,blue,109,0.9085561497326202,0.7668449197860963
147,hadoop,37277,Stack Overflow,5.928199299999999,8.343489,Computer Science,blue,110,0.9058823529411766,0.7647058823529411
152,haskell,36332,Stack Overflow,-4.1020107,-4.384979,Computer Science,blue,111,0.9032085561497327,0.7625668449197862
155,authentication,35684,Stack Overflow,3.7422402000000003,15.874114000000002,Computer Science,blue,112,0.9005347593582889,0.7604278074866311
156,pdf,35678,Stack Overflow,1.7470198000000001,12.991864999999999,Computer Science,blue,113,0.897860962566845,0.758288770053476
157,tomcat,35615,Stack Overflow,0.522876,2.5264695,Computer Science,blue,114,0.8951871657754011,0.7561497326203208
159,docker,35417,Stack Overflow,-3.525217,-5.6676087,Computer Science,blue,115,0.8925133689839573,0.7540106951871659
160,flash,35261,Stack Overflow,3.9993762999999998,5.8516603,Computer Science,blue,116,0.8898395721925134,0.7518716577540108
