,tag,count,class,tsne_0,tsne_1,tsne_2,cName,colour_class,rank,size_objs,alpha_val
84,perl,58939,Stack Overflow,-91.86823000000001,71.53911,-71.37276,Computer Science,blue,71,1.0101604278074867,0.8481283422459893
86,web-services,57875,Stack Overflow,-75.73806,-68.71512,137.32764,Computer Science,blue,72,1.0074866310160429,0.8459893048128342
87,file,57654,Stack Overflow,-107.81754,-133.34569,-30.884271999999996,Computer Science,blue,73,1.004812834224599,0.8438502673796793
88,google-maps,56228,Stack Overflow,-134.28596000000002,52.368008,22.978514,Computer Science,blue,74,1.0021390374331551,0.8417112299465241
91,cordova,55829,Stack Overflow,-98.06406,43.21506,37.871615999999996,Computer Science,blue,75,0.9994652406417113,0.839572192513369
92,symfony,55777,Stack Overflow,-88.03896,94.81447,41.77732,Computer Science,blue,76,0.9967914438502674,0.8374331550802139
96,loops,53424,Stack Overflow,-12.340416000000001,-159.97835,-59.28975,Computer Science,blue,77,0.9941176470588236,0.835294117647059
97,azure,53378,Stack Overflow,-35.24439,131.78304,13.180101,Computer Science,blue,78,0.9914438502673797,0.8331550802139038
98,class,53131,Stack Overflow,-94.4774,-30.30043,20.446503,Computer Science,blue,79,0.9887700534759358,0.8310160427807487
99,csv,53062,Stack Overflow,102.511826,35.915222,9.946367,Computer Science,blue,80,0.986096256684492,0.8288770053475936
100,validation,52353,Stack Overflow,165.35725,44.795840000000005,22.772558,Computer Science,blue,81,0.9834224598930481,0.8267379679144384
102,sockets,51618,Stack Overflow,89.77808,-56.274525,-116.30878,Computer Science,blue,82,0.9807486631016042,0.8245989304812835
104,sorting,50425,Stack Overflow,-104.9528,-71.333885,81.415474,Computer Science,blue,83,0.9780748663101604,0.8224598930481284
107,selenium,49427,Stack Overflow,-67.58076,-7.3511705,58.256313,Computer Science,blue,84,0.9754010695187165,0.8203208556149733
109,typescript,48869,Stack Overflow,-54.672714,21.553455,55.782990000000005,Computer Science,blue,85,0.9727272727272727,0.8181818181818183
110,wcf,48317,Stack Overflow,-29.443620000000003,142.07263,-92.10065999999999,Computer Science,blue,86,0.9700534759358288,0.8160427807486632
112,email,47305,Stack Overflow,113.24604,-124.79489,-5.321678599999999,Computer Science,blue,87,0.9673796791443849,0.8139037433155081
113,jsp,47267,Stack Overflow,-134.44359,33.513298,-21.276861,Computer Science,blue,88,0.9647058823529411,0.8117647058823529
114,http,46851,Stack Overflow,73.19827,-4.2281265,103.22604,Computer Science,blue,89,0.9620320855614974,0.8096256684491978
121,security,44117,Stack Overflow,48.462685,-119.586266,14.501567000000001,Computer Science,blue,90,0.9593582887700536,0.8074866310160429
122,oop,43958,Stack Overflow,-116.38821000000002,-9.263999,-121.73196399999999,Computer Science,blue,91,0.9566844919786097,0.8053475935828878
123,opencv,43184,Stack Overflow,-52.480736,25.796337,-15.064820000000001,Computer Science,blue,92,0.9540106951871659,0.8032085561497326
124,parsing,42705,Stack Overflow,-77.689575,-96.35670999999999,-86.46984,Computer Science,blue,93,0.951336898395722,0.8010695187165775
125,c++11,42413,Stack Overflow,97.93605,5.6249022,135.0016,Computer Science,blue,94,0.9486631016042781,0.7989304812834224
126,user-interface,42331,Stack Overflow,59.041430000000005,-15.110902,-38.088074,Computer Science,blue,95,0.9459893048128343,0.7967914438502675
127,datetime,42330,Stack Overflow,-55.233185,-121.50395,42.49374,Computer Science,blue,96,0.9433155080213904,0.7946524064171123
129,delphi,41117,Stack Overflow,51.427868,140.41388,-107.54096000000001,Computer Science,blue,97,0.9406417112299466,0.7925133689839572
133,express,40309,Stack Overflow,-111.39119,8.287397,13.818451999999999,Computer Science,blue,98,0.9379679144385027,0.7903743315508023
134,ubuntu,39972,Stack Overflow,43.882785999999996,81.39726,131.66252,Computer Science,blue,99,0.9352941176470588,0.7882352941176471
135,templates,39165,Stack Overflow,83.457184,62.120197,-20.083757000000002,Computer Science,blue,100,0.932620320855615,0.786096256684492
136,pointers,39104,Stack Overflow,73.152214,48.322453,36.812847,Computer Science,blue,101,0.9299465240641711,0.7839572192513369
138,object,38565,Stack Overflow,-41.379345,-86.93474599999999,-116.976974,Computer Science,blue,102,0.9272727272727272,0.781818181818182
139,debugging,38511,Stack Overflow,-133.78339,45.613533000000004,89.912155,Computer Science,blue,103,0.9245989304812834,0.7796791443850268
140,dictionary,38346,Stack Overflow,16.280967999999998,144.59702,-76.31929000000001,Computer Science,blue,104,0.9219251336898395,0.7775401069518717
141,variables,38244,Stack Overflow,-74.9985,-46.6011,-98.30096,Computer Science,blue,105,0.9192513368983957,0.7754010695187166
142,session,38120,Stack Overflow,-77.04339,15.372169,-42.27695,Computer Science,blue,106,0.9165775401069518,0.7732620320855614
144,unix,37845,Stack Overflow,127.15558999999999,-26.140549,-46.45738,Computer Science,blue,107,0.9139037433155079,0.7711229946524065
145,ms-access,37577,Stack Overflow,-26.426813,-78.39534,79.6408,Computer Science,blue,108,0.9112299465240641,0.7689839572192514
146,cocoa,37349,Stack Overflow,47.90765,-67.25271,-12.268423,Computer Science,blue,109,0.9085561497326202,0.7668449197860963
147,hadoop,37277,Stack Overflow,-121.70463600000001,-84.60266,-71.65448,Computer Science,blue,110,0.9058823529411766,0.7647058823529411
152,haskell,36332,Stack Overflow,-80.38962,20.529846,82.23105,Computer Science,blue,111,0.9032085561497327,0.7625668449197862
155,authentication,35684,Stack Overflow,88.46189,102.37742,-82.65628000000001,Computer Science,blue,112,0.9005347593582889,0.7604278074866311
156,pdf,35678,Stack Overflow,-9.998708,84.29336500000001,-50.248314,Computer Science,blue,113,0.897860962566845,0.758288770053476
157,tomcat,35615,Stack Overflow,-58.390923,-140.88571000000002,-7.294553,Computer Science,blue,114,0.8951871657754011,0.7561497326203208
159,docker,35417,Stack Overflow,108.44386999999999,-73.54760999999999,80.003006,Computer Science,blue,115,0.8925133689839573,0.7540106951871659
160,flash,35261,Stack Overflow,19.796751,66.58338,-73.73165999999999,Computer Science,blue,116,0.8898395721925134,0.7518716577540108
161,ssl,34433,Stack Overflow,58.43865600000001,33.733579999999996,-35.508342999999996,Computer Science,blue,117,0.8871657754010696,0.7497326203208556
162,ipad,34324,Stack Overflow,142.82675,22.710587,-28.81151,Computer Science,blue,118,0.8844919786096257,0.7475935828877005
164,jpa,33577,Stack Overflow,-20.339714,-27.581888,-179.28973,Computer Science,blue,119,0.8818181818181818,0.7454545454545454
165,generics,33474,Stack Overflow,-97.82648499999999,-114.34637,61.398087,Computer Science,blue,120,0.879144385026738,0.7433155080213905
166,jsf,33297,Stack Overflow,-17.720594000000002,48.764126,155.89737,Computer Science,blue,121,0.8764705882352941,0.7411764705882353
167,url,33225,Stack Overflow,26.307084999999997,83.29321999999999,-32.174114,Computer Science,blue,122,0.8737967914438503,0.7390374331550802
168,animation,33166,Stack Overflow,-14.825241,59.49827,-87.8377,Computer Science,blue,123,0.8711229946524064,0.7368983957219253
170,firefox,32486,Stack Overflow,-0.5355508000000001,40.668106,-50.54244,Computer Science,blue,124,0.8684491978609625,0.7347593582887701
172,redirect,32184,Stack Overflow,117.79228,77.577965,-98.57811,Computer Science,blue,125,0.8657754010695187,0.732620320855615
173,curl,31410,Stack Overflow,137.4183,-31.59126,73.10776,Computer Science,blue,126,0.8631016042780748,0.7304812834224599
175,unity3d,31113,Stack Overflow,6.958616,-67.98535,78.48591,Computer Science,blue,127,0.860427807486631,0.728342245989305
177,asynchronous,30950,Stack Overflow,93.68358,-83.65954,-51.671279999999996,Computer Science,blue,128,0.8577540106951871,0.7262032085561498
178,inheritance,30859,Stack Overflow,-95.94939000000001,111.000626,99.25372,Computer Science,blue,129,0.8550802139037432,0.7240641711229947
180,exception,30492,Stack Overflow,14.030273999999999,33.640793,89.16729000000001,Computer Science,blue,130,0.8524064171122996,0.7219251336898396
